数据表/文件,字段,类型,含义,单位/取值,缺失情况,样本数,可直接可视化,派生指标,关联字段,章节,备注
research_entities,entity_id,TEXT,规范实体唯一标识,IENT-…,无,"152,979",是(连接键),-,research_assertions.subject_id/object_id,4/3.3,权威库
research_entities,canonical_name,TEXT,规范实体名,中文名,无,"152,979",是,高频榜/网络标签,-,4/3/6/7/17,-
research_entities,entity_type,TEXT,实体类型(16类),Person/Event/Place/Organization/Concept/…,无,"152,979",是,类型分布/类型矩阵,-,6/7,与论文§4.3一致
research_entities,type_validation_status,TEXT,类型验证状态,validated/pending,待定4762,"152,979",是,类型未决占比,-,7,论文:148217验证/4762未决
research_entities,aliases_json,TEXT,别名JSON,[],多数空,"152,979",是(解析后),别名数量分布,-,7,-
research_assertions,fact_id,TEXT,断言唯一标识,IFACT-…,无,"424,150",是(连接键),-,evidence_gate_tier/gate_verdict_details/provenance,4,权威库
research_assertions,subject_id/subject_name/subject_type,TEXT,主体三元组,-,无,"424,150",是,网络边/类型矩阵,-,6/7/16,-
research_assertions,object_id/object_name/object_type,TEXT,客体三元组,-,无,"424,150",是,网络边/类型矩阵,-,6/7/16,-
research_assertions,predicate,TEXT,谓词(规范+raw:前缀),raw:关联等,无,"424,150",是,谓词长尾/规范化映射,provenance.source_predicate,8,raw:前缀=未归一
research_assertions,time_start/time_end,TEXT,时间起止,YYYY-MM-DD,大量NULL,"424,150",是(过滤),年分布/时间轴,-,9,1853–2024
research_assertions,time_role/space_role,TEXT,时间/空间语义角色,event_time/…,-,"424,150",是,角色分布,scope_adjustments,9,-
research_assertions,province/city/county,TEXT,省市县,中文,"346,874空","424,150",是(注意覆盖),省域分布,assertion_regions,5/9,"非空77,276条"
research_assertions,research_tier,TEXT,最终知识状态,strict_semantic/contextual/unresolved,无,"424,150",是,三层结构,-,12,31067/299329/93754
research_assertions,confidence/risk_tier,REAL/TEXT,置信度/风险层,0-1/高中低,-,"424,150",是,分布图,-,10,-
research_assertions,source_member_count,INT,来源成员数,1-4+,无,"424,150",是,来源密度分布,-,13,383025/40929/196
evidence_gate_tier,final_tier,TEXT,证据门最终层,STRICT/CONTEXTUAL/UNRESOLVED,无,"112,158",是,准入漏斗,-,12,31067/31282/49809
evidence_gate_tier,gate_method,TEXT,判定方法,rule/llm,无,"112,158",是,方法占比,-,12/13,rule=2106(recovery_D)
gate_verdict_details,decision,TEXT,五档语义支持,FULLY_SUPPORTED/…,无,"105,081",是,五档结构,-,13,22099/34922/3057/44976/27
gate_verdict_details,confidence/evidence_quote/explanation/latency_s,REAL/TEXT,判定置信度/证据引文/理由/时延,-,部分空,"105,081",是,案例图/时延分布,-,17,"引文56,485条"
research_assertion_provenance,evidence_ids_json/native_record_ids_json,TEXT,证据/原生记录指针,JSON数组,"127,080非空","466,312",是(解析后),A谱系完整率,-,13,A=44.72%
research_event_frames,event_name/strict_assertion_count/…,TEXT/INT,事件框架及统计,-,无,"28,065",是,事件规模/时间分布,-,9/16/17,-
research_event_spatiotemporal_cells,stage×province×evidence_counts,-,事件时空格,8阶段×13省,无,"7,067",是,时空热力图,-,9,含观测层
research_place_versions,historical_name/valid_from/valid_to,TEXT,地点历史版本,-,无,72,是,版本演化图,-,9,-
research_relation_contract,predicate/domain/range,TEXT,关系契约,88谓词,无,88,是,契约矩阵,-,8,-
research_scope_adjustments,source/final role+owner,TEXT,时空作用域调整,-,无,208,是,调整流向图,-,11,-
research_culture_states,stage/province/form/tier,-,文化状态,-,无,"11,532",是,状态分布,-,9,-
research_study_regions,province_name/basin_segment,TEXT,13省域定义,-,无,13,是,地图/省域,-,5,-
research_historical_stages,stage_label_zh/time,TEXT,8历史阶段,-,无,8,是,阶段轴,-,9,-
assertion_temporal_relations,relation_code,TEXT,时序关系类型,before/after/…,无,"5,636,370",是(聚合),时序类型分布,-,9,9类
research_assertion_identity_collisions,resolution/member_count,TEXT/INT,身份碰撞处置,merged/kept,无,655,是,碰撞处置,-,7,654合并/1保留
v2_identity_resolutions,(全表),-,身份决议明细,-,无,794,是,投影决议,-,7,论文:794决议
v2_name_clusters,member_count,INT,名称聚类规模,-,无,"3,094",是,聚类规模分布,-,7,-
v2_label_votes,unit/dimension/label_function,-,标签投票,-,无,"841,097",是(聚合),投票来源,-,7,-
v2_semantic_conflicts,conflict_type/severity,-,语义冲突,-,无,"74,636",是,冲突类型,-,7/11,-

== 实验产物 ==
E01_预算曲线.csv,"预算曲线(0-100%九档,pooled/dev/val)",一致率/翻转/风险,budget_v2/CURVE_LOCAL.csv,§10 选择性预测
E02_路由对比.csv,R0-R7路由×预算×指标,一致率,budget_v2/ROUTING_COMPARISON.csv,§10
E03_路由bootstrap.json,R6 vs R1-R5 18项配对bootstrap,Δ/CI/p,budget_v2/ROUTING_BOOTSTRAP.json,§10
E04_冻结测试三split.csv,DEV/VAL/TEST同口径对比,10指标,frozen_test/SUMMARY.json,§10
E05_消融12变体TEST.csv,S0-S10消融,覆盖率/风险,FINAL_TEST_REPORT.md §2,§10
E06_作用域闭包.json,208→187→83→62→28分流与McNemar,-,CLOSURE3_SUMMARY.json,§11
E07_跨来源.json,random/book/province三切分,acc/mF1/risk,CROSS_SOURCE_SUMMARY.json,§15
E08_门外审计.json,门外5000双裁判,9组CI,OUTSIDE_GATE_AUDIT_RESULTS.json,§14
E09_门内审计.json,门内4427双裁判,精度/κ,AUDIT_RESULTS.json,§14
E10_全库准入.json,"424,150台账与replay",-,FULL_UNIVERSE_ADMISSION_SUMMARY.json,§12
E11_权威数字31项.csv,31项权威指标,-,FINAL_NUMBERS.csv,全局
E12_证据门摘要.json,六层桶/方法/分层,-,EVIDENCE_GATE_SUMMARY.json,§12/13
E20-E24_论文表*.csv,论文表1-5转录,-,manuscript docx,§5/10/15
E14/E15/E16_审计核心*.csv,审计核心指标(定版口径),-,各JSON人工核对,§14
T06_六层定位桶.csv,六层定位桶规模,-,FINAL_EVIDENCE_REPORT.md §2,§12/13
T09_级联准入漏斗.csv,级联准入12节点,-,AUTHORITATIVE_RESULTS.md,§12
T10_全库三层归因.csv,三层来源分解11路径,-,AUTHORITATIVE_RESULTS.md §二之四,§12

== 中间表 ==
E01_预算曲线.csv,"4,701B",27,"split,budget,llm_source,model,n_all,n_labeled_leave_b_out,k_escalated,agreement,n_correct,wrong_to_right,right_to_wrong,"
E02_路由对比.csv,"3,915B",43,"budget,route_id,route_name,oracle_only,k_total,n_labeled,agreement,wrong_to_right,right_to_wrong,generalized_risk,qualit"
E04_冻结测试三split.csv,365B,10,"指标,DEV,VAL,TEST"
E05_消融12变体TEST.csv,481B,12,"变体,覆盖率,选择准确率,选择性风险"
E11_权威数字31项.csv,"7,341B",31,"metric,value,unit,universe,definition,source,sql_or_script,status,db_sha256"
E14_门外审计核心指标.csv,501B,9,"指标,点估计,CI下界,CI上界,分子,分母"
E15_门内审计核心指标.csv,281B,7,"指标,值,CI下界,CI上界"
E16_三概念分离ABC.csv,147B,3,"概念,分子,分母,比率"
E20_论文表1_资料列表.csv,513B,8,"资料系列,收录规模,册数,特征"
E21_论文表2A_选择性语义判定.csv,303B,4,"方法,接受覆盖率,接受样本一致率,选择性风险,安全覆盖率,MacroF1"
E22_论文表3_组件消融.csv,304B,4,"变体,覆盖率,接受样本一致率,选择性风险,错误暴露率,安全覆盖率"
E23_论文表4_结构消融.csv,250B,5,"消融设置,影响对象,变化量,新增违例"
E24_论文表5_效率实验.csv,298B,5,"规模,陈述数,热启动中位s,含加载中位s,热启动吞吐,峰值RSS_MB"
T01_省域断言统计.csv,"1,034B",35,"省份,断言总数,严格层,上下文层,未决层"
T02_实体类型分布.csv,425B,16,"实体类型,数量,类型已验证,类型未决"
T03_谓词分布.csv,"276,742B",12885,"谓词,断言数,是否原始形式(raw:)"
T04_谓词规范化映射.csv,"552,269B",15855,"原始谓词,规范谓词,断言数"
T05_断言时间年分布.csv,"2,235B",133,"年,总数,严格层,上下文层,未决层"
T06_六层定位桶.csv,174B,6,"定位桶,规模,已测STRICT"
T07_证据门五档支持.csv,202B,5,"语义支持等级,断言数"
T08_证据门分层方法.csv,121B,4,"最终层,判定方法,断言数"
T08b_五档与最终层交叉.csv,232B,6,"最终层,语义支持等级,断言数"
T09_级联准入漏斗.csv,356B,12,"阶段,断言数"
T10_全库三层归因.csv,555B,11,"归因路径,断言数"
T11_来源成员数分布.csv,96B,10,"来源成员数,断言数"
T12_实体度分布.csv,112B,8,"度区间,实体数"
T13_高频实体Top150.csv,"3,801B",150,"实体名,类型,度"
T14_主语类型×谓词矩阵.csv,"5,376B",192,"主语类型,谓词,断言数"
T14b_宾语类型×谓词矩阵.csv,"5,429B",194,"宾语类型,谓词,断言数"
T15_省域×主语类型矩阵.csv,"7,438B",266,"省份,主语类型,断言数"
T16_历史阶段×省域时空格.csv,"399,564B",7067,"历史阶段,阶段序,省份,观测层,时间证据数,地点证据数,语境证据数"
T17_事件框架全表.csv,"1,336,714B",28065,"事件名,严格断言数,全部断言数,受控角色数,省域数,观测起,观测止,状态"
T18_地点版本演化.csv,"3,417B",72,"历史名,起,止,行政层级,派生模式,状态"
T19_事件关系.csv,"38,647B",499,"源事件,关系,目标事件,强度,因果状态"
T20_作用域调整汇总.csv,"1,512B",16,"原时间角色,新时间角色,原空间角色,新空间角色,原因,条数"
T21_关系契约88谓词.csv,"7,333B",88,"谓词,中文标签,定义域类型,值域类型"
T22_文化状态统计.csv,"51,315B",674,"历史阶段,阶段序,省份,文化形态,观测层,状态数"
T23_身份决议794.csv,"319,082B",794,"conflict_id,entity_id,resolution_type,scope_policy,global_merge_target,rationale_json,method_version,closed_at"
T24_名称聚类规模.csv,73B,8,"成员数,聚类数"
T25_标签投票来源.csv,"1,273B",22,"单元类型,维度,标注函数,票数"
T26_模型决策.csv,60B,1,"模型,校验通过,决策数"
T27_语义冲突类型.csv,385B,10,"冲突类型,数量"
T28_时序关系类型.csv,162B,9,"时序关系类型,数量"
T29_身份碰撞处置.csv,84B,2,"处置方式,组数,平均成员数"
T29_身份碰撞类型.csv,24B,0,"碰撞类型,数量"
T31_主语类型×历史阶段.csv,"3,880B",100,"主语类型,历史阶段,断言数"
T32_人物活跃年份.csv,"7,350B",400,"人物,年,断言数"
T34_严格层边表31067.csv,"3,714,914B",31067,"主体ID,主体名,主体类型,谓词,客体ID,客体名,客体类型,省份,时间"
T35_案例_八七会议.csv,"14,720B",143,"事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别"
T35_案例_南昌起义.csv,"64,073B",664,"事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别"
T35_案例_秋收起义.csv,"11,439B",120,"事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别"
T35_案例_遵义会议.csv,"26,799B",268,"事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别"
T36_大事件Top30.csv,990B,30,"事件名,严格断言数,受控角色数,省域数,观测起"
T37_风险层分布.csv,58B,4,"风险层,断言数"
T37b_置信度分布.csv,147B,13,"置信度,断言数"
T38_流域分段统计.csv,111B,3,"流域分段,断言数"
T39_十三省域定义.csv,650B,13,"区域ID,省份,流域段,顺序"
E03_路由bootstrap.json,"10,819B",-,{
E06_作用域闭包.json,"26,897B",-,{
E07_跨来源.json,"10,099B",-,{
E08_门外审计.json,"4,909B",-,{
E09_门内审计.json,"3,560B",-,{
E10_全库准入.json,"2,715B",-,{
E12_证据门摘要.json,"55,523B",-,{
E13_分层政策.json,"17,846B",-,{
